('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724931 function calls (705695 primitive calls) in 7.315 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      239    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      478    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.093    0.047 client.py:213(_read_headers)
       84    0.000    0.000    0.000    0.000 css_parser.py:792(parse_combinator)
       40    0.000    0.000    0.000    0.000 response.py:996(_update_chunk_length)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      628    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      805    0.000    0.000    0.000    0.000 element.py:2203(_normalize_search_value)
        1    0.000    0.000    7.316    7.316 financial.py:1(<module>)
    68/19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      319    0.000    0.000    0.078    0.000 __init__.py:226(compile)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
      296    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       10    0.000    0.000    0.000    0.000 client.py:1292(putheader)
      130    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      3/2    0.000    0.000    1.591    0.795 sessions.py:159(resolve_redirects)
      273    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      421    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.001    0.001 connection.py:319(request)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      640    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       59    0.000    0.000    0.368    0.006 client.py:633(_safe_read)
      196    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
  236/234    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      258    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      365    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
  116/113    0.000    0.000    0.002    0.000 typing.py:392(inner)
      308    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      202    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      342    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      614    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 response.py:282(BaseHTTPResponse)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      427    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
      303    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      309    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        2    0.000    0.000    1.356    0.678 client.py:324(begin)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        1    0.000    0.000    0.020    0.020 dammit.py:67(EntitySubstitution)
       18    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
    88/27    0.000    0.000    0.102    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      214    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        5    0.000    0.000    0.001    0.000 url.py:369(parse_url)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       69    0.000    0.000    0.000    0.000 css_parser.py:529(parse_tag_pattern)
      404    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      311    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       41    0.000    0.000    0.011    0.000 response.py:429(_decode)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      133    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       36    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      689    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        1    0.000    0.000    0.135    0.135 connection.py:708(_ssl_wrap_socket_and_match_hostname)
        6    0.000    0.000    0.001    0.000 cookies.py:124(extract_cookies_to_jar)
      240    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      922    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       70    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.007    0.007 _lxml.py:1(<module>)
        2    0.000    0.000    1.613    0.807 connectionpool.py:381(_make_request)
      573    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       37    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      622    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      279    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    1.260    0.630 client.py:291(_read_status)
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
        4    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      338    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        2    0.000    0.000    1.614    0.807 connectionpool.py:596(urlopen)
       49    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
      202    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       41    0.000    0.000    0.380    0.009 response.py:914(stream)
    45/14    0.000    0.000    0.120    0.009 {built-in method builtins.__import__}
        2    0.000    0.000    1.616    0.808 adapters.py:434(send)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    7.146    7.146 financial.py:8(get_page)
      633    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      162    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
        1    0.000    0.000    0.003    0.003 ssl_.py:218(create_urllib3_context)
       18    0.000    0.000    0.001    0.000 typing.py:687(Union)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      183    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
    42/30    0.000    0.000    0.008    0.000 css_parser.py:566(parse_pseudo_class)
       49    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        2    0.000    0.000    0.001    0.000 adapters.py:294(build_response)
       25    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
