('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724721 function calls (705537 primitive calls) in 1.943 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      296    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      319    0.000    0.000    0.081    0.000 __init__.py:226(compile)
      130    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      421    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
    68/19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      640    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      342    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      258    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      202    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       59    0.000    0.000    0.289    0.005 client.py:633(_safe_read)
      273    0.000    0.000    0.000    0.000 css_parser.py:332(match)
  116/113    0.000    0.000    0.002    0.000 typing.py:392(inner)
       36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    1.944    1.944 financial.py:1(<module>)
      308    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
       14    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        5    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      365    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      311    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       41    0.000    0.000    0.011    0.000 response.py:429(_decode)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      634    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      427    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      657    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      404    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       18    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.001    0.000 connection.py:319(request)
       36    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
    88/27    0.000    0.000    0.106    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       69    0.000    0.000    0.000    0.000 css_parser.py:529(parse_tag_pattern)
      133    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      214    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      240    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       70    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       10    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      573    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      319    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      922    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.115    0.115 connection.py:708(_ssl_wrap_socket_and_match_hostname)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
        1    0.000    0.000    0.000    0.000 response.py:282(BaseHTTPResponse)
      440    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
      622    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      279    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      689    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        1    0.000    0.000    0.007    0.007 _lxml.py:1(<module>)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       18    0.000    0.000    0.001    0.000 typing.py:687(Union)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      338    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      162    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      202    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        1    0.000    0.000    0.003    0.003 ssl_.py:218(create_urllib3_context)
       42    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
    45/14    0.000    0.000    0.125    0.009 {built-in method builtins.__import__}
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      183    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
        2    0.000    0.000    0.005    0.002 request.py:1(<module>)
      633    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      443    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
        2    0.000    0.000    0.001    0.000 parser.py:56(parsestr)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        2    0.000    0.000    0.010    0.005 utils.py:1(<module>)
        2    0.000    0.000    1.058    0.529 connection.py:435(getresponse)
    42/30    0.000    0.000    0.008    0.000 css_parser.py:566(parse_pseudo_class)
        2    0.000    0.000    1.316    0.658 connectionpool.py:381(_make_request)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        2    0.000    0.000    0.001    0.001 connection.py:1(<module>)
        1    0.000    0.000    0.020    0.020 dammit.py:67(EntitySubstitution)
       53    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
